gene_id	ERR883767_1	ERR883768_1	ERR883769_1	ERR883770_1	ERR883771_1	ERR883772_1
LOC100646767	512	449	555	767	620	605
LOC100646890	189	168	220	326	226	251
LOC100647008	971	918	920	692	460	498
LOC100647130	2693	2402	2530	2766	1732	2282
LOC100647248	1178	1077	934	587	510	448
LOC100648542	53	68	75	150	81	96
LOC100647365	1705	1549	1236	761	451	602
LOC100647487	220	189	252	284	163	213
LOC100648663	5	10	1	10	4	19
LOC100647602	149	133	152	187	110	186
LOC100647714	231	216	297	139	114	70
LOC100647832	579	621	797	698	497	641
LOC110120331	5	1	1	3	2	3
LOC100647952	973	860	973	705	401	540
LOC100648155	1472	1317	1261	458	268	290
LOC100648269	312	321	294	213	146	190
LOC100648386	822	668	656	698	520	479
LOC100648501	767	556	771	48	25	38
LOC100648734	1404	1268	1076	306	289	205
LOC100648848	605	555	620	421	358	376
LOC100648964	340	339	389	289	205	193
LOC100648618	376	264	409	365	197	602
LOC100649162	146	148	227	142	54	154
LOC100649283	807	640	700	596	397	601
LOC110119447	2	0	0	0	0	0
LOC100649609	1145	1093	1324	687	449	564
LOC100649485	227	255	315	88	42	89
LOC100649721	490	434	585	551	367	406
LOC100651310	621	549	562	334	229	281
LOC105667166	351	287	346	279	190	227
LOC105665635	961	845	885	1087	715	1063
LOC100648777	295	274	308	448	274	380
LOC100649912	1862	1799	2138	2694	2749	1029
LOC100651065	1254	1061	1152	837	578	549
LOC100651549	643	587	470	410	267	260
LOC100650389	716	664	547	250	186	167
LOC100651668	407	383	548	358	281	306
LOC100650512	263	275	301	192	152	159
LOC100650140	2408	2229	2507	1483	1077	1104
LOC100651430	115	89	143	167	101	128
LOC100650630	392	314	403	454	338	337
LOC100651186	381	348	347	266	169	286
LOC100650266	1170	1065	1156	898	626	738
LOC100650024	1414	1287	1188	568	334	369
LOC100650833	1171	874	1119	1255	646	989
LOC100650948	12	30	28	24	19	21
LOC100651787	3426	3167	3257	4824	4804	4039
LOC100651909	979	832	815	431	361	311
LOC100652028	550	587	697	556	398	377
LOC100652149	845	794	788	540	371	298
LOC100652268	22	11	29	26	9	11
LOC105665845	3	5	0	6	7	4
LOC100642235	622	564	915	1933	1405	1567
LOC100642358	644	560	675	416	556	477
LOC100642595	69	75	82	216	140	201
LOC100642478	253	234	399	283	189	72
LOC100642716	1578	1461	1571	1281	829	951
LOC100642832	3762	3507	3157	1575	1160	1499
LOC100642949	1046	1015	1177	1177	805	1249
LOC100643068	10	16	10	32	24	32
LOC100643311	149	171	192	559	328	662
LOC100643187	1558	1306	1483	1678	1145	1266
LOC100643679	630	525	568	759	317	900
LOC100643557	10163	11907	11482	11099	10835	6823
LOC100643434	1040	914	851	439	380	307
LOC100643874	1789	1543	1633	955	721	1113
LOC105665846	7	7	17	9	9	6
LOC100643999	138	111	104	104	64	92
LOC105667209	88	92	81	78	48	85
LOC100644115	1485	1416	1271	1553	1273	988
LOC100644237	880	778	1075	3461	2841	2587
LOC100644387	96	91	74	47	22	37
LOC100644629	526	512	519	598	432	484
LOC100644508	1148	964	1234	945	786	464
LOC100644747	887	787	950	488	388	300
LOC100644992	285	268	340	322	253	239
LOC100644872	1539	1399	1570	1494	1057	1159
LOC100645111	462	404	459	512	407	507
LOC100645231	2503	2637	2494	2064	1236	2079
LOC110119345	119	118	107	154	99	168
LOC100645359	1914	1692	1989	611	353	590
LOC100645477	2020	1979	1855	761	635	896
LOC100645933	264	185	199	18	36	27
LOC100645818	14062	12711	9607	2029	1651	2010
LOC100646133	1177	1149	1017	288	158	181
LOC100646250	1057	916	833	508	380	482
LOC100646454	771	659	770	453	285	451
LOC100646695	2048	1777	2560	2677	2140	1751
LOC100646891	182	208	302	758	476	456
LOC100646574	1914	1718	1579	770	470	484
LOC100647009	2295	2476	3332	4226	2641	2985
LOC100647131	959	899	848	963	870	946
LOC105665677	132	122	122	184	147	165
LOC100647249	1459	1260	1399	1048	713	948
LOC100647685	621	648	883	782	584	582
LOC100647366	1284	1079	1331	1478	965	1035
LOC100647488	4602	4290	4908	5357	5160	3558
LOC100648891	1600	1585	1235	640	335	369
LOC100648194	145	144	155	77	47	55
LOC100648080	1884	1870	1775	1175	754	812
LOC100647953	1255	1196	1087	1083	770	699
LOC100648309	1588	1348	1184	101	68	120
LOC100648422	127	105	112	141	69	105
LOC100648541	624	553	718	676	529	516
LOC100648890	4581	3831	5152	4753	2336	4307
LOC100648776	3586	2889	3977	4581	4164	3206
LOC100648662	9345	8131	10976	6423	3625	4051
LOC100649013	6093	5276	6682	5870	4285	5246
LOC100649012	2290	2109	2494	1516	1123	1313
LOC100649245	864	755	525	0	0	3
LOC100649199	780	780	729	427	315	415
LOC100649435	820	860	774	354	204	231
LOC100649560	1061	969	835	567	422	454
LOC100649680	136	150	180	184	116	140
LOC100649318	16	23	35	102	54	119
LOC100649794	1405	1346	1341	1485	893	1090
LOC100650141	1219	1051	1394	905	554	803
LOC100650267	1140	1201	1261	1002	651	680
LOC100650589	318	269	280	477	307	370
LOC100650470	865	689	643	913	585	757
LOC100650712	1118	1052	1048	1142	737	771
LOC100650913	320	309	312	189	147	202
LOC100651028	307	238	181	108	81	112
LOC100651149	0	2	0	0	0	2
LOC100651272	321	283	312	248	207	322
LOC100651475	476	515	484	515	354	326
LOC100651945	504	502	498	551	342	345
LOC100651592	692	704	664	601	442	438
LOC100651710	846	765	1156	1119	875	878
LOC100652068	25139	25805	33864	9162	14734	3823
LOC100651828	1440	1435	1828	623	443	619
LOC100649365	818	732	532	109	56	125
LOC100642479	1310	1347	1227	1107	681	657
LOC100642792	1028	1007	990	602	387	541
LOC100642596	720	772	779	538	421	498
LOC100642912	4537	3859	5265	5176	3677	4900
LOC100643107	973	963	811	2037	1325	1624
LOC110119148	0	0	0	0	0	0
LOC100643515	132	123	153	129	80	99
LOC100643395	498	506	581	775	539	623
LOC100643639	1787	1478	1299	61	74	39
LOC105665762	4	5	9	8	3	4
LOC100643752	29	20	16	20	22	17
LOC100643875	1524	1349	878	5	4	3
LOC100649610	78	62	51	5	7	12
LOC100644116	1497	1363	838	2	1	8
LOC105665767	1750	1503	1203	16	15	33
LOC100644000	720	624	851	945	629	628
LOC100644238	1571	1399	970	44	21	54
LOC100644591	445	417	539	383	259	305
LOC100644473	7133	6546	8365	3079	2001	2183
LOC100644355	70	87	95	100	75	72
LOC110119257	8	7	10	6	1	2
LOC100644792	300	286	253	437	235	581
LOC110119626	200	187	162	296	169	337
LOC100644915	1167	1035	986	510	433	328
LOC100645039	546	474	526	379	304	247
LOC100645156	2349	2212	1488	461	304	365
LOC100645278	1148	1091	991	503	328	398
LOC100649835	9	8	8	13	10	26
LOC105665780	4	2	2	3	2	0
LOC100649952	622	593	546	105	63	60
LOC100645617	782	693	893	719	467	617
LOC105665794	507	453	413	515	353	473
LOC100645400	579	485	428	434	336	447
LOC105665806	39	17	38	22	31	27
LOC105665809	29	34	26	10	8	11
LOC100645819	12011	9445	10098	7031	2681	3023
LOC100645934	351	308	388	995	849	650
LOC100650066	1175	1116	1069	2344	1516	1319
LOC100646051	583	525	566	521	342	348
LOC100646167	407	332	644	2443	1295	1319
LOC100646281	1939	1501	886	13	11	7
LOC100646401	3	10	8	55	22	77
LOC100646528	126	125	156	321	239	328
LOC100646648	126	177	164	232	141	203
LOC110119909	10	8	10	4	6	5
LOC100646768	2083	1950	2313	2686	2033	1691
LOC100646972	1206	1021	1201	877	748	654
LOC100647209	1302	1221	1338	1144	722	1018
LOC100650310	123	88	157	180	126	123
LOC105665823	116	112	117	190	103	82
LOC100647089	480	401	475	223	159	138
LOC100650428	12	10	19	4	5	7
LOC100647406	320	278	362	406	330	270
LOC100647528	70	82	93	388	202	417
LOC100647833	44	46	59	71	79	73
LOC100647715	2	7	3	8	9	15
LOC100650550	3	3	10	19	15	21
LOC100647603	11213	9685	5614	264	145	123
LOC100647716	950	904	780	293	179	142
LOC100650992	1095	1052	823	270	174	168
LOC100647834	501	408	319	241	189	177
LOC100646769	109	123	172	117	152	154
LOC100652150	6083	4778	6955	6833	8017	2576
LOC100645788	164	184	267	267	264	120
